ts,open,high,low,close,vol
2025-11-14 13:00:00,906.66,910.53,904.0,907.13,11710.67
2025-11-14 13:05:00,907.08,907.08,903.38,904.39,7414.91
2025-11-14 13:10:00,904.39,905.47,902.5,903.0,4482.91
2025-11-14 13:15:00,903.01,904.44,901.18,901.37,4609.39
2025-11-14 13:20:00,901.37,902.27,897.74,900.15,6979.05
2025-11-14 13:25:00,900.14,902.84,899.11,902.16,5463.07
2025-11-14 13:30:00,902.16,903.67,897.82,899.14,7447.61
2025-11-14 13:35:00,899.14,900.36,897.06,898.08,9088.44
2025-11-14 13:40:00,898.07,901.09,896.85,899.46,4861.93
2025-11-14 13:45:00,899.46,901.61,898.47,900.42,6680.34
2025-11-14 13:50:00,900.42,909.1,899.06,906.12,14301.91
2025-11-14 13:55:00,906.13,909.4,905.08,906.42,6169.1
2025-11-14 14:00:00,906.42,909.45,905.21,908.8,8246.67
2025-11-14 14:05:00,908.75,913.1,908.38,911.72,13100.9
2025-11-14 14:10:00,911.72,911.99,908.78,910.08,4845.33
2025-11-14 14:15:00,910.08,915.54,909.58,914.01,7584.35
2025-11-14 14:20:00,914.01,915.37,911.81,915.02,11335.71
2025-11-14 14:25:00,915.01,916.0,911.93,912.16,8284.3
2025-11-14 14:30:00,912.16,915.87,908.13,914.32,13957.09
2025-11-14 14:35:00,914.3,923.67,914.0,921.78,23046.65
2025-11-14 14:40:00,921.78,927.79,918.75,926.03,24507.35
2025-11-14 14:45:00,926.03,928.4,923.62,925.01,16663.78
2025-11-14 14:50:00,925.0,928.87,922.06,926.34,13068.24
2025-11-14 14:55:00,926.34,927.14,925.0,925.39,6462.94
2025-11-14 15:00:00,925.38,925.38,922.34,923.02,9539.64
2025-11-14 15:05:00,923.03,925.37,921.27,924.8,6909.68
2025-11-14 15:10:00,924.78,925.4,918.55,920.28,6259.52
2025-11-14 15:15:00,920.28,924.55,919.73,921.44,5358.21
2025-11-14 15:20:00,921.44,923.74,919.7,920.8,5644.58
2025-11-14 15:25:00,920.77,927.0,918.74,925.01,12064.58
2025-11-14 15:30:00,925.01,927.35,924.05,924.59,4890.0
2025-11-14 15:35:00,924.6,926.62,923.11,925.91,3442.01
2025-11-14 15:40:00,925.91,926.47,924.14,926.2,3031.24
2025-11-14 15:45:00,926.2,931.82,925.33,929.57,12654.57
2025-11-14 15:50:00,929.57,931.97,927.5,928.02,6120.31
2025-11-14 15:55:00,928.02,928.02,924.57,926.12,3915.7
2025-11-14 16:00:00,926.16,926.63,923.28,923.76,4264.37
2025-11-14 16:05:00,923.76,925.45,922.22,925.45,3737.56
2025-11-14 16:10:00,925.45,926.43,924.34,924.65,2827.69
2025-11-14 16:15:00,924.65,926.0,922.46,923.7,2626.16
2025-11-14 16:20:00,923.7,927.17,922.53,927.06,3577.06
2025-11-14 16:25:00,927.06,932.24,926.35,929.71,6199.8
2025-11-14 16:30:00,929.71,932.85,928.29,931.27,4445.71
2025-11-14 16:35:00,931.28,933.93,930.0,931.63,5334.4
2025-11-14 16:40:00,931.64,933.06,930.77,932.07,4968.89
2025-11-14 16:45:00,932.08,932.76,931.08,932.59,3055.75
2025-11-14 16:50:00,932.6,933.99,932.08,932.18,3782.85
2025-11-14 16:55:00,932.18,932.72,931.2,931.81,2422.25
2025-11-14 17:00:00,931.82,932.06,930.07,931.68,2561.03
2025-11-14 17:05:00,931.67,932.02,930.54,931.66,1311.53
2025-11-14 17:10:00,931.64,932.65,929.55,929.93,1848.78
2025-11-14 17:15:00,929.93,931.18,928.83,929.63,2262.97
2025-11-14 17:20:00,929.63,930.57,928.65,929.34,5851.68
2025-11-14 17:25:00,929.34,929.68,927.62,928.99,2681.69
2025-11-14 17:30:00,929.0,929.03,927.19,928.23,2412.89
2025-11-14 17:35:00,928.23,930.9,928.16,930.2,3312.0
2025-11-14 17:40:00,930.2,930.21,928.67,929.07,2007.59
2025-11-14 17:45:00,929.07,929.72,923.39,924.1,5184.21
2025-11-14 17:50:00,924.11,924.83,921.08,924.22,6700.72
2025-11-14 17:55:00,924.22,925.55,922.5,923.48,2706.6
2025-11-14 18:00:00,923.48,923.55,921.55,923.42,2955.82
2025-11-14 18:05:00,923.43,924.36,922.36,924.35,2705.91
2025-11-14 18:10:00,924.36,927.87,923.24,927.56,3258.87
2025-11-14 18:15:00,927.56,927.92,925.28,926.11,2076.59
2025-11-14 18:20:00,926.1,926.74,923.61,924.46,1566.85
2025-11-14 18:25:00,924.48,926.42,923.11,926.42,1910.41
2025-11-14 18:30:00,926.42,927.77,925.18,926.15,1650.91
2025-11-14 18:35:00,926.15,926.5,922.2,922.59,1770.02
2025-11-14 18:40:00,922.6,922.65,920.7,921.43,3565.42
2025-11-14 18:45:00,921.43,921.94,919.03,920.11,5513.37
2025-11-14 18:50:00,920.12,922.15,920.12,921.0,2306.25
2025-11-14 18:55:00,921.0,921.65,920.07,921.56,2423.85
2025-11-14 19:00:00,921.56,922.4,920.42,921.35,2708.56
2025-11-14 19:05:00,921.35,924.63,920.65,924.63,2215.11
2025-11-14 19:10:00,924.63,927.94,924.42,927.78,6264.86
2025-11-14 19:15:00,927.78,930.04,927.72,929.45,3005.11
2025-11-14 19:20:00,929.45,933.96,929.45,932.17,6897.7
2025-11-14 19:25:00,932.17,932.29,930.44,931.2,4098.49
2025-11-14 19:30:00,931.21,931.21,928.65,929.47,2626.86
2025-11-14 19:35:00,929.46,929.94,927.8,929.89,1618.82
2025-11-14 19:40:00,929.84,929.84,928.13,928.21,1434.62
2025-11-14 19:45:00,928.21,930.68,927.64,929.97,3808.91
2025-11-14 19:50:00,929.97,931.65,929.85,930.82,1445.51
2025-11-14 19:55:00,930.82,932.4,930.45,932.27,1321.09
2025-11-14 20:00:00,932.28,933.33,932.0,932.91,2990.96
2025-11-14 20:05:00,932.9,934.0,930.87,931.31,3129.55
2025-11-14 20:10:00,931.32,931.83,929.78,930.14,1396.79
2025-11-14 20:15:00,930.14,930.8,929.13,930.22,1351.55
2025-11-14 20:20:00,930.22,930.52,926.79,928.04,2512.4
2025-11-14 20:25:00,928.05,928.12,925.55,925.89,1795.79
2025-11-14 20:30:00,925.88,926.7,924.61,926.03,1912.94
2025-11-14 20:35:00,926.03,926.52,921.02,921.68,4019.8
2025-11-14 20:40:00,921.67,921.9,915.0,916.92,10354.3
2025-11-14 20:45:00,916.91,918.18,914.29,917.38,5842.0
2025-11-14 20:50:00,917.38,919.72,917.09,918.97,4041.27
2025-11-14 20:55:00,919.0,921.25,918.46,920.11,3707.56
2025-11-14 21:00:00,920.12,924.81,917.77,924.41,3543.38
2025-11-14 21:05:00,924.42,929.04,924.35,926.59,5364.85
2025-11-14 21:10:00,926.57,927.89,925.25,926.38,3338.45
2025-11-14 21:15:00,926.37,926.81,924.61,926.41,1903.5
2025-11-14 21:20:00,926.41,928.61,925.45,925.91,2852.06
2025-11-14 21:25:00,925.91,927.28,923.85,924.62,2102.32
2025-11-14 21:30:00,924.61,925.45,924.22,924.62,1579.97
2025-11-14 21:35:00,924.62,925.47,923.65,924.87,1039.88
2025-11-14 21:40:00,924.88,926.47,923.75,926.08,1650.92
2025-11-14 21:45:00,926.08,926.97,924.62,925.49,2221.73
2025-11-14 21:50:00,925.49,926.5,924.95,925.44,1941.79
2025-11-14 21:55:00,925.44,927.06,925.2,926.08,1004.86
2025-11-14 22:00:00,926.08,929.23,925.97,929.16,4887.76
2025-11-14 22:05:00,929.15,929.76,927.8,927.82,1258.49
2025-11-14 22:10:00,927.81,928.01,921.77,921.96,2194.83
2025-11-14 22:15:00,922.0,923.65,921.31,923.3,2539.47
2025-11-14 22:20:00,923.3,923.86,921.72,921.95,1809.75
2025-11-14 22:25:00,921.95,926.75,921.74,926.54,1483.27
2025-11-14 22:30:00,926.52,929.11,926.2,926.78,2333.31
2025-11-14 22:35:00,926.77,927.68,926.07,926.58,1511.16
2025-11-14 22:40:00,926.58,927.5,924.91,926.87,1147.76
2025-11-14 22:45:00,926.87,927.6,923.87,924.31,957.61
2025-11-14 22:50:00,924.35,925.24,922.0,922.55,1215.26
2025-11-14 22:55:00,922.55,923.43,920.52,923.42,1381.91
2025-11-14 23:00:00,923.42,923.42,913.05,915.52,4834.3
2025-11-14 23:05:00,915.51,915.51,908.25,911.18,8483.67
2025-11-14 23:10:00,911.17,916.96,910.78,916.64,4121.25
2025-11-14 23:15:00,916.65,919.73,914.73,919.72,2081.86
2025-11-14 23:20:00,919.73,919.94,913.07,914.39,4081.13
2025-11-14 23:25:00,914.4,917.49,913.91,916.64,1566.99
2025-11-14 23:30:00,916.63,918.48,914.81,917.66,2536.38
2025-11-14 23:35:00,917.65,919.29,916.01,918.89,1338.7
2025-11-14 23:40:00,918.9,919.37,918.0,918.67,1004.43
2025-11-14 23:45:00,918.68,921.52,918.67,920.31,2825.06
2025-11-14 23:50:00,920.32,921.4,916.51,917.31,2533.62
2025-11-14 23:55:00,917.28,917.28,914.49,915.69,2791.8
2025-11-15 00:00:00,915.7,919.17,915.42,919.1,4866.69
2025-11-15 00:05:00,919.1,923.39,918.67,921.73,4509.82
2025-11-15 00:10:00,921.73,925.0,921.73,924.04,4495.85
2025-11-15 00:15:00,924.04,924.93,923.06,923.86,2323.75
2025-11-15 00:20:00,923.86,926.71,923.86,926.71,1861.51
2025-11-15 00:25:00,926.71,926.9,923.45,925.14,1991.35
2025-11-15 00:30:00,925.14,925.14,921.3,922.07,2649.96
2025-11-15 00:35:00,922.07,922.16,919.09,920.33,1724.69
2025-11-15 00:40:00,920.33,921.94,919.94,921.52,1243.44
2025-11-15 00:45:00,921.52,921.54,918.2,918.86,1427.89
2025-11-15 00:50:00,918.86,920.05,917.78,920.05,1455.74
2025-11-15 00:55:00,920.06,923.15,919.83,923.09,1387.18
2025-11-15 01:00:00,923.09,923.85,921.3,921.38,1676.14
2025-11-15 01:05:00,921.38,923.68,919.73,923.56,2649.11
2025-11-15 01:10:00,923.56,925.2,922.4,924.48,1415.74
2025-11-15 01:15:00,924.49,927.33,923.9,926.92,2845.39
2025-11-15 01:20:00,926.93,927.34,924.17,924.5,2612.03
2025-11-15 01:25:00,924.5,925.35,923.53,925.0,1175.22
2025-11-15 01:30:00,925.0,926.31,924.58,926.0,1282.27
2025-11-15 01:35:00,926.01,927.12,925.04,926.66,1557.82
2025-11-15 01:40:00,926.67,928.28,926.51,927.79,1861.36
2025-11-15 01:45:00,927.79,928.98,927.1,927.7,2023.54
2025-11-15 01:50:00,927.7,929.21,926.75,929.0,3137.14
2025-11-15 01:55:00,928.98,930.8,928.02,929.11,2958.42
2025-11-15 02:00:00,929.11,929.11,927.35,927.73,1513.99
2025-11-15 02:05:00,927.73,928.94,927.38,928.43,1998.06
2025-11-15 02:10:00,928.44,929.0,928.0,928.18,970.81
2025-11-15 02:15:00,928.18,930.84,927.12,929.53,1616.95
2025-11-15 02:20:00,929.52,931.07,928.47,929.8,2717.52
2025-11-15 02:25:00,929.79,930.88,929.32,930.16,2407.85
2025-11-15 02:30:00,930.17,930.34,928.48,928.91,1528.62
2025-11-15 02:35:00,928.91,930.43,928.28,930.41,1462.94
2025-11-15 02:40:00,930.4,933.85,930.29,933.44,8858.09
2025-11-15 02:45:00,933.42,936.26,933.27,933.85,8139.29
2025-11-15 02:50:00,933.86,936.04,933.56,934.99,4479.06
2025-11-15 02:55:00,934.99,936.64,934.04,936.56,2385.4
2025-11-15 03:00:00,936.57,936.57,934.12,934.39,2512.82
2025-11-15 03:05:00,934.38,934.38,933.24,933.8,2467.7
2025-11-15 03:10:00,933.81,934.97,933.61,934.87,1511.72
2025-11-15 03:15:00,934.87,935.34,933.89,934.74,2789.22
2025-11-15 03:20:00,934.74,934.75,933.4,933.8,1609.34
2025-11-15 03:25:00,933.8,935.24,933.61,933.79,2189.46
2025-11-15 03:30:00,933.79,933.93,930.8,931.28,6163.18
2025-11-15 03:35:00,931.28,931.62,930.19,930.27,2483.23
2025-11-15 03:40:00,930.28,931.64,930.0,931.6,2212.62
2025-11-15 03:45:00,931.61,932.18,930.76,932.18,2323.44
2025-11-15 03:50:00,932.19,932.4,931.26,931.94,1294.34
2025-11-15 03:55:00,931.95,933.13,931.77,932.36,1183.96
2025-11-15 04:00:00,932.36,932.69,931.9,932.33,1331.97
2025-11-15 04:05:00,932.33,933.0,932.11,932.34,961.98
2025-11-15 04:10:00,932.35,933.28,932.16,932.38,1914.43
2025-11-15 04:15:00,932.38,934.25,932.05,934.19,973.03
2025-11-15 04:20:00,934.19,934.19,932.96,933.1,1822.07
2025-11-15 04:25:00,933.11,933.11,932.21,932.57,810.17
2025-11-15 04:30:00,932.57,932.57,931.82,932.09,1555.5
2025-11-15 04:35:00,932.1,932.48,931.81,931.87,617.13
2025-11-15 04:40:00,931.87,931.87,927.8,928.13,3706.45
2025-11-15 04:45:00,928.13,928.6,927.73,928.5,2473.99
2025-11-15 04:50:00,928.5,929.27,927.55,929.0,1693.77
2025-11-15 04:55:00,928.99,929.31,928.03,928.6,585.28
2025-11-15 05:00:00,928.59,929.61,928.13,929.23,1174.82
2025-11-15 05:05:00,929.24,930.52,928.38,928.76,760.2
2025-11-15 05:10:00,928.76,928.78,927.61,928.34,678.7
2025-11-15 05:15:00,928.33,930.86,928.33,930.57,822.29
2025-11-15 05:20:00,930.57,931.0,930.0,930.01,913.65
2025-11-15 05:25:00,930.01,930.89,929.5,929.88,527.66
2025-11-15 05:30:00,929.87,930.77,929.41,929.93,1461.67
2025-11-15 05:35:00,929.92,929.92,928.93,929.23,405.39
2025-11-15 05:40:00,929.23,931.04,928.7,931.03,570.48
2025-11-15 05:45:00,931.04,932.72,930.62,932.1,1709.08
2025-11-15 05:50:00,932.09,932.99,931.69,932.65,1083.92
2025-11-15 05:55:00,932.65,933.0,932.39,932.64,1015.95
2025-11-15 06:00:00,932.63,932.63,931.86,932.4,790.91
2025-11-15 06:05:00,932.4,933.9,932.21,933.18,1140.05
2025-11-15 06:10:00,933.18,933.93,932.78,933.66,1814.17
2025-11-15 06:15:00,933.66,934.88,933.13,934.57,1751.28
2025-11-15 06:20:00,934.58,935.18,934.57,935.18,1173.26
2025-11-15 06:25:00,935.18,935.45,933.98,934.16,3479.28
2025-11-15 06:30:00,934.17,935.16,933.8,935.1,1290.45
2025-11-15 06:35:00,935.1,936.04,935.1,935.39,1997.11
2025-11-15 06:40:00,935.4,935.61,931.51,931.91,2010.89
2025-11-15 06:45:00,931.91,932.56,930.9,932.12,1683.41
2025-11-15 06:50:00,932.12,933.97,931.58,933.84,1461.9
2025-11-15 06:55:00,933.83,933.84,932.65,933.07,574.28
2025-11-15 07:00:00,933.08,933.78,931.84,932.01,2764.73
2025-11-15 07:05:00,932.01,933.97,931.96,933.84,933.38
2025-11-15 07:10:00,933.84,934.85,933.57,934.75,1084.26
2025-11-15 07:15:00,934.75,934.91,933.84,934.6,859.7
2025-11-15 07:20:00,934.6,936.41,934.11,936.41,2190.79
2025-11-15 07:25:00,936.41,937.68,935.7,936.68,4611.31
2025-11-15 07:30:00,936.68,937.47,936.29,936.76,2420.89
2025-11-15 07:35:00,936.76,936.76,935.32,935.75,1781.7
2025-11-15 07:40:00,935.75,935.97,934.16,934.76,1280.86
2025-11-15 07:45:00,934.76,935.13,933.78,934.49,1019.63
2025-11-15 07:50:00,934.49,935.95,934.49,935.69,858.26
2025-11-15 07:55:00,935.68,936.92,935.42,936.81,1893.39
2025-11-15 08:00:00,936.82,937.23,933.47,935.47,3295.02
2025-11-15 08:05:00,935.47,936.33,934.89,935.89,1404.19
2025-11-15 08:10:00,935.9,936.84,935.76,936.34,1700.6
2025-11-15 08:15:00,936.33,937.34,935.08,936.81,3791.61
2025-11-15 08:20:00,936.81,938.08,935.68,937.05,5845.56
2025-11-15 08:25:00,937.05,937.45,935.64,936.97,2400.45
2025-11-15 08:30:00,936.97,937.27,935.01,935.11,2727.79
2025-11-15 08:35:00,935.1,939.6,935.1,937.91,5870.71
2025-11-15 08:40:00,937.92,938.84,934.83,935.02,2676.21
2025-11-15 08:45:00,935.03,935.52,931.25,932.47,9101.43
2025-11-15 08:50:00,932.46,933.39,930.86,932.08,2941.23
2025-11-15 08:55:00,932.08,933.8,931.45,933.34,1570.39
2025-11-15 09:00:00,933.33,933.5,931.24,933.01,1534.24
2025-11-15 09:05:00,933.01,934.88,932.22,934.31,2124.05
2025-11-15 09:10:00,934.31,937.5,934.22,937.04,2426.88
2025-11-15 09:15:00,937.04,937.44,936.07,936.4,855.03
2025-11-15 09:20:00,936.41,939.1,936.16,938.9,2913.33
2025-11-15 09:25:00,938.9,939.29,937.13,937.81,1478.72
2025-11-15 09:30:00,937.82,937.99,936.6,937.16,1905.4
2025-11-15 09:35:00,937.17,938.04,936.98,937.31,818.34
2025-11-15 09:40:00,937.31,938.23,937.14,938.01,817.43
2025-11-15 09:45:00,938.01,938.01,935.12,935.35,1574.98
2025-11-15 09:50:00,935.36,935.36,934.0,934.59,2357.85
2025-11-15 09:55:00,934.58,935.37,934.03,935.08,1687.66
2025-11-15 10:00:00,935.07,935.16,933.1,933.56,1345.07
2025-11-15 10:05:00,933.57,934.43,932.24,932.45,2342.8
2025-11-15 10:10:00,932.44,933.01,930.11,933.0,5885.34
2025-11-15 10:15:00,933.01,934.76,932.95,934.12,1441.6
2025-11-15 10:20:00,934.12,936.84,933.75,936.15,1744.32
2025-11-15 10:25:00,936.15,936.24,935.21,935.68,1196.13
