ts,open,high,low,close,vol
2025-11-14 13:00:00,14.14,14.253,14.112,14.183,242440.21
2025-11-14 13:05:00,14.183,14.184,14.103,14.119,109633.83
2025-11-14 13:10:00,14.12,14.14,14.055,14.071,79433.59
2025-11-14 13:15:00,14.072,14.101,14.025,14.025,106061.69
2025-11-14 13:20:00,14.025,14.048,13.982,14.032,113768.71
2025-11-14 13:25:00,14.033,14.069,14.007,14.025,95056.58
2025-11-14 13:30:00,14.026,14.041,13.931,13.957,141306.45
2025-11-14 13:35:00,13.957,13.997,13.927,13.957,141628.09
2025-11-14 13:40:00,13.957,14.007,13.936,13.977,88381.48
2025-11-14 13:45:00,13.978,14.015,13.941,13.958,70760.98
2025-11-14 13:50:00,13.957,14.144,13.939,14.066,169137.96
2025-11-14 13:55:00,14.067,14.123,14.023,14.053,150849.53
2025-11-14 14:00:00,14.054,14.124,14.013,14.114,105395.23
2025-11-14 14:05:00,14.114,14.158,14.071,14.105,182247.24
2025-11-14 14:10:00,14.105,14.109,14.013,14.037,116631.83
2025-11-14 14:15:00,14.037,14.115,14.023,14.091,89553.5
2025-11-14 14:20:00,14.09,14.14,14.057,14.132,100402.49
2025-11-14 14:25:00,14.131,14.131,14.022,14.022,84756.13
2025-11-14 14:30:00,14.023,14.112,13.925,14.082,233758.13
2025-11-14 14:35:00,14.081,14.27,14.077,14.237,527207.21
2025-11-14 14:40:00,14.237,14.367,14.171,14.318,245067.16
2025-11-14 14:45:00,14.318,14.396,14.257,14.319,298219.69
2025-11-14 14:50:00,14.32,14.412,14.266,14.349,164205.39
2025-11-14 14:55:00,14.349,14.357,14.281,14.307,175478.94
2025-11-14 15:00:00,14.307,14.314,14.122,14.152,402798.64
2025-11-14 15:05:00,14.151,14.227,14.131,14.207,183136.12
2025-11-14 15:10:00,14.206,14.213,14.043,14.08,175237.78
2025-11-14 15:15:00,14.081,14.148,14.054,14.059,151892.55
2025-11-14 15:20:00,14.06,14.164,14.06,14.161,189841.71
2025-11-14 15:25:00,14.161,14.293,14.099,14.238,198072.67
2025-11-14 15:30:00,14.238,14.301,14.205,14.224,162205.95
2025-11-14 15:35:00,14.223,14.301,14.201,14.274,104178.93
2025-11-14 15:40:00,14.273,14.3,14.236,14.297,83063.62
2025-11-14 15:45:00,14.296,14.454,14.277,14.373,218820.84
2025-11-14 15:50:00,14.373,14.409,14.317,14.329,134088.04
2025-11-14 15:55:00,14.33,14.33,14.248,14.286,114034.34
2025-11-14 16:00:00,14.286,14.3,14.238,14.257,88214.9
2025-11-14 16:05:00,14.256,14.307,14.232,14.307,164297.59
2025-11-14 16:10:00,14.307,14.322,14.272,14.279,93552.78
2025-11-14 16:15:00,14.278,14.294,14.232,14.257,61979.94
2025-11-14 16:20:00,14.257,14.329,14.231,14.324,84509.23
2025-11-14 16:25:00,14.324,14.45,14.303,14.386,155375.64
2025-11-14 16:30:00,14.386,14.462,14.348,14.435,138962.63
2025-11-14 16:35:00,14.434,14.489,14.406,14.433,116789.8
2025-11-14 16:40:00,14.433,14.471,14.384,14.4,115544.94
2025-11-14 16:45:00,14.399,14.446,14.365,14.436,72192.71
2025-11-14 16:50:00,14.438,14.48,14.426,14.449,120840.89
2025-11-14 16:55:00,14.45,14.48,14.432,14.462,59162.82
2025-11-14 17:00:00,14.461,14.464,14.427,14.439,76989.83
2025-11-14 17:05:00,14.439,14.442,14.395,14.429,66290.15
2025-11-14 17:10:00,14.429,14.466,14.416,14.423,48992.97
2025-11-14 17:15:00,14.422,14.429,14.381,14.39,60485.6
2025-11-14 17:20:00,14.391,14.391,14.343,14.344,69959.11
2025-11-14 17:25:00,14.345,14.349,14.291,14.333,82320.61
2025-11-14 17:30:00,14.332,14.332,14.277,14.305,79862.81
2025-11-14 17:35:00,14.306,14.321,14.284,14.304,45947.66
2025-11-14 17:40:00,14.303,14.303,14.259,14.274,56497.59
2025-11-14 17:45:00,14.274,14.284,14.158,14.175,111112.39
2025-11-14 17:50:00,14.176,14.179,14.089,14.179,199766.61
2025-11-14 17:55:00,14.178,14.197,14.13,14.156,95488.77
2025-11-14 18:00:00,14.155,14.171,14.108,14.169,87653.28
2025-11-14 18:05:00,14.169,14.204,14.143,14.203,68001.64
2025-11-14 18:10:00,14.204,14.313,14.186,14.298,99927.8
2025-11-14 18:15:00,14.299,14.312,14.225,14.245,77249.02
2025-11-14 18:20:00,14.244,14.252,14.173,14.188,69036.56
2025-11-14 18:25:00,14.189,14.229,14.164,14.223,67849.86
2025-11-14 18:30:00,14.222,14.246,14.189,14.209,76004.06
2025-11-14 18:35:00,14.209,14.221,14.102,14.109,80099.29
2025-11-14 18:40:00,14.109,14.115,14.08,14.101,140336.36
2025-11-14 18:45:00,14.101,14.115,14.055,14.068,88968.66
2025-11-14 18:50:00,14.069,14.131,14.069,14.106,98465.08
2025-11-14 18:55:00,14.105,14.107,14.072,14.106,59294.01
2025-11-14 19:00:00,14.106,14.129,14.076,14.085,81084.91
2025-11-14 19:05:00,14.084,14.173,14.075,14.167,94068.12
2025-11-14 19:10:00,14.168,14.211,14.158,14.202,94680.11
2025-11-14 19:15:00,14.201,14.247,14.191,14.24,87675.66
2025-11-14 19:20:00,14.24,14.336,14.24,14.313,111551.26
2025-11-14 19:25:00,14.313,14.316,14.259,14.269,78220.36
2025-11-14 19:30:00,14.269,14.27,14.199,14.22,105179.14
2025-11-14 19:35:00,14.22,14.22,14.19,14.206,49542.1
2025-11-14 19:40:00,14.207,14.22,14.185,14.207,29043.33
2025-11-14 19:45:00,14.207,14.263,14.189,14.245,59905.88
2025-11-14 19:50:00,14.245,14.284,14.242,14.264,48721.42
2025-11-14 19:55:00,14.264,14.296,14.254,14.293,27659.25
2025-11-14 20:00:00,14.294,14.304,14.262,14.278,48443.69
2025-11-14 20:05:00,14.277,14.287,14.22,14.234,40381.21
2025-11-14 20:10:00,14.233,14.259,14.201,14.21,36951.22
2025-11-14 20:15:00,14.21,14.232,14.178,14.196,44881.54
2025-11-14 20:20:00,14.197,14.2,14.104,14.138,81183.84
2025-11-14 20:25:00,14.137,14.138,14.088,14.1,62316.0
2025-11-14 20:30:00,14.1,14.15,14.085,14.127,84403.36
2025-11-14 20:35:00,14.126,14.13,14.006,14.013,108459.12
2025-11-14 20:40:00,14.012,14.017,13.859,13.901,235734.64
2025-11-14 20:45:00,13.902,13.918,13.837,13.891,227518.25
2025-11-14 20:50:00,13.891,13.948,13.891,13.925,136935.12
2025-11-14 20:55:00,13.926,13.937,13.878,13.896,87245.59
2025-11-14 21:00:00,13.896,13.998,13.831,13.993,127726.77
2025-11-14 21:05:00,13.994,14.099,13.989,14.051,133278.66
2025-11-14 21:10:00,14.05,14.082,14.019,14.081,62324.86
2025-11-14 21:15:00,14.08,14.081,14.04,14.05,55778.52
2025-11-14 21:20:00,14.05,14.097,14.024,14.027,61209.09
2025-11-14 21:25:00,14.028,14.068,13.981,14.008,62190.0
2025-11-14 21:30:00,14.008,14.055,14.005,14.041,61088.98
2025-11-14 21:35:00,14.042,14.064,14.004,14.047,44085.74
2025-11-14 21:40:00,14.047,14.08,14.02,14.064,47222.09
2025-11-14 21:45:00,14.064,14.085,14.028,14.058,40527.44
2025-11-14 21:50:00,14.059,14.073,14.043,14.043,36316.94
2025-11-14 21:55:00,14.043,14.057,14.028,14.045,30621.15
2025-11-14 22:00:00,14.045,14.111,14.044,14.109,40827.72
2025-11-14 22:05:00,14.109,14.133,14.067,14.067,48387.69
2025-11-14 22:10:00,14.066,14.091,13.949,13.958,55383.83
2025-11-14 22:15:00,13.959,13.977,13.923,13.969,66602.35
2025-11-14 22:20:00,13.968,13.979,13.93,13.934,43117.66
2025-11-14 22:25:00,13.934,14.067,13.927,14.054,47952.78
2025-11-14 22:30:00,14.054,14.138,14.044,14.066,66072.52
2025-11-14 22:35:00,14.065,14.075,14.042,14.056,49122.34
2025-11-14 22:40:00,14.055,14.078,14.03,14.068,30252.02
2025-11-14 22:45:00,14.067,14.097,14.011,14.011,54661.34
2025-11-14 22:50:00,14.012,14.027,13.937,13.958,39730.78
2025-11-14 22:55:00,13.957,13.973,13.894,13.973,57714.99
2025-11-14 23:00:00,13.972,13.972,13.668,13.766,294585.36
2025-11-14 23:05:00,13.764,13.772,13.571,13.648,426071.71
2025-11-14 23:10:00,13.648,13.819,13.638,13.805,139154.05
2025-11-14 23:15:00,13.805,13.863,13.747,13.862,117304.7
2025-11-14 23:20:00,13.863,13.872,13.697,13.728,71525.09
2025-11-14 23:25:00,13.728,13.805,13.722,13.764,53892.72
2025-11-14 23:30:00,13.764,13.821,13.731,13.821,73161.55
2025-11-14 23:35:00,13.821,13.865,13.785,13.86,62779.29
2025-11-14 23:40:00,13.861,13.878,13.831,13.855,32253.1
2025-11-14 23:45:00,13.855,13.928,13.854,13.903,54397.47
2025-11-14 23:50:00,13.902,13.911,13.816,13.82,74391.65
2025-11-14 23:55:00,13.819,13.819,13.771,13.802,67384.4
2025-11-15 00:00:00,13.801,13.899,13.787,13.893,121404.05
2025-11-15 00:05:00,13.892,13.975,13.86,13.926,100093.42
2025-11-15 00:10:00,13.926,13.973,13.924,13.969,79535.28
2025-11-15 00:15:00,13.97,13.975,13.941,13.947,60515.46
2025-11-15 00:20:00,13.946,14.007,13.945,14.007,86293.58
2025-11-15 00:25:00,14.006,14.015,13.941,13.954,76081.94
2025-11-15 00:30:00,13.955,13.962,13.883,13.915,68958.83
2025-11-15 00:35:00,13.915,13.926,13.862,13.894,52082.97
2025-11-15 00:40:00,13.895,13.954,13.887,13.953,39587.87
2025-11-15 00:45:00,13.952,13.955,13.894,13.904,52516.44
2025-11-15 00:50:00,13.903,13.92,13.871,13.919,40336.75
2025-11-15 00:55:00,13.919,14.005,13.917,13.998,48820.96
2025-11-15 01:00:00,13.997,14.008,13.948,13.957,53517.6
2025-11-15 01:05:00,13.957,13.971,13.903,13.965,72002.13
2025-11-15 01:10:00,13.964,14.025,13.942,14.005,51061.21
2025-11-15 01:15:00,14.004,14.07,13.996,14.064,82616.31
2025-11-15 01:20:00,14.064,14.067,14.007,14.02,49448.69
2025-11-15 01:25:00,14.019,14.061,14.001,14.052,48189.41
2025-11-15 01:30:00,14.051,14.087,14.041,14.083,50650.7
2025-11-15 01:35:00,14.083,14.128,14.067,14.105,108788.44
2025-11-15 01:40:00,14.106,14.131,14.102,14.12,55761.33
2025-11-15 01:45:00,14.12,14.143,14.108,14.114,65313.69
2025-11-15 01:50:00,14.114,14.16,14.098,14.144,67553.74
2025-11-15 01:55:00,14.144,14.187,14.132,14.154,62907.36
2025-11-15 02:00:00,14.154,14.154,14.095,14.127,65758.49
2025-11-15 02:05:00,14.127,14.147,14.115,14.117,39421.06
2025-11-15 02:10:00,14.117,14.134,14.094,14.095,39002.59
2025-11-15 02:15:00,14.094,14.142,14.074,14.115,37012.45
2025-11-15 02:20:00,14.115,14.139,14.098,14.117,36560.37
2025-11-15 02:25:00,14.118,14.152,14.109,14.148,33525.35
2025-11-15 02:30:00,14.149,14.156,14.101,14.115,46759.02
2025-11-15 02:35:00,14.114,14.132,14.1,14.131,20581.01
2025-11-15 02:40:00,14.132,14.175,14.115,14.166,95029.87
2025-11-15 02:45:00,14.166,14.191,14.156,14.166,70704.7
2025-11-15 02:50:00,14.167,14.204,14.155,14.183,48377.93
2025-11-15 02:55:00,14.183,14.244,14.162,14.241,34818.47
2025-11-15 03:00:00,14.241,14.245,14.2,14.208,58929.11
2025-11-15 03:05:00,14.207,14.232,14.198,14.227,31015.62
2025-11-15 03:10:00,14.228,14.242,14.221,14.238,28945.9
2025-11-15 03:15:00,14.237,14.249,14.219,14.235,44088.9
2025-11-15 03:20:00,14.235,14.242,14.218,14.23,37211.96
2025-11-15 03:25:00,14.229,14.279,14.223,14.259,84803.59
2025-11-15 03:30:00,14.259,14.267,14.186,14.199,92832.47
2025-11-15 03:35:00,14.199,14.218,14.185,14.202,61237.47
2025-11-15 03:40:00,14.203,14.226,14.19,14.225,34931.23
2025-11-15 03:45:00,14.225,14.227,14.168,14.204,72354.09
2025-11-15 03:50:00,14.205,14.209,14.17,14.174,19894.9
2025-11-15 03:55:00,14.173,14.196,14.169,14.192,29161.17
2025-11-15 04:00:00,14.193,14.208,14.188,14.194,39931.31
2025-11-15 04:05:00,14.194,14.201,14.17,14.186,54758.17
2025-11-15 04:10:00,14.187,14.215,14.179,14.203,28021.41
2025-11-15 04:15:00,14.203,14.248,14.197,14.238,105949.1
2025-11-15 04:20:00,14.238,14.246,14.187,14.19,34430.62
2025-11-15 04:25:00,14.189,14.189,14.157,14.163,24454.7
2025-11-15 04:30:00,14.163,14.163,14.13,14.158,43823.28
2025-11-15 04:35:00,14.158,14.174,14.141,14.145,66183.19
2025-11-15 04:40:00,14.145,14.154,14.124,14.125,32847.08
2025-11-15 04:45:00,14.124,14.143,14.117,14.143,22072.64
2025-11-15 04:50:00,14.142,14.166,14.13,14.161,26277.61
2025-11-15 04:55:00,14.162,14.168,14.134,14.144,31606.53
2025-11-15 05:00:00,14.145,14.153,14.129,14.143,25633.73
2025-11-15 05:05:00,14.142,14.166,14.124,14.134,23926.64
2025-11-15 05:10:00,14.134,14.14,14.106,14.112,27950.98
2025-11-15 05:15:00,14.113,14.169,14.111,14.154,28910.5
2025-11-15 05:20:00,14.154,14.158,14.138,14.138,39257.31
2025-11-15 05:25:00,14.138,14.152,14.133,14.139,19784.69
2025-11-15 05:30:00,14.139,14.148,14.118,14.134,47382.05
2025-11-15 05:35:00,14.134,14.134,14.113,14.123,16379.39
2025-11-15 05:40:00,14.123,14.157,14.114,14.157,17199.37
2025-11-15 05:45:00,14.157,14.213,14.145,14.191,124751.7
2025-11-15 05:50:00,14.191,14.215,14.185,14.205,42696.38
2025-11-15 05:55:00,14.204,14.209,14.174,14.178,36253.23
2025-11-15 06:00:00,14.177,14.186,14.158,14.159,54926.39
2025-11-15 06:05:00,14.159,14.177,14.144,14.171,47209.33
2025-11-15 06:10:00,14.171,14.21,14.168,14.198,33729.7
2025-11-15 06:15:00,14.198,14.224,14.185,14.213,28528.86
2025-11-15 06:20:00,14.213,14.243,14.206,14.242,39675.05
2025-11-15 06:25:00,14.242,14.242,14.207,14.208,29586.74
2025-11-15 06:30:00,14.209,14.238,14.201,14.224,36466.29
2025-11-15 06:35:00,14.223,14.281,14.216,14.26,63738.54
2025-11-15 06:40:00,14.26,14.265,14.203,14.208,116190.24
2025-11-15 06:45:00,14.208,14.208,14.18,14.196,36004.84
2025-11-15 06:50:00,14.195,14.25,14.182,14.241,34727.12
2025-11-15 06:55:00,14.241,14.241,14.187,14.191,34158.96
2025-11-15 07:00:00,14.19,14.191,14.111,14.118,224996.98
2025-11-15 07:05:00,14.119,14.164,14.119,14.164,46235.31
2025-11-15 07:10:00,14.164,14.177,14.155,14.157,59905.19
2025-11-15 07:15:00,14.157,14.161,14.137,14.15,24020.05
2025-11-15 07:20:00,14.15,14.167,14.126,14.167,44068.04
2025-11-15 07:25:00,14.167,14.18,14.15,14.162,20665.95
2025-11-15 07:30:00,14.162,14.162,14.122,14.133,31361.64
2025-11-15 07:35:00,14.133,14.133,14.09,14.098,53714.14
2025-11-15 07:40:00,14.099,14.106,14.066,14.075,90767.17
2025-11-15 07:45:00,14.075,14.086,14.054,14.06,50228.26
2025-11-15 07:50:00,14.06,14.087,14.06,14.082,28413.81
2025-11-15 07:55:00,14.082,14.082,14.062,14.076,27351.13
2025-11-15 08:00:00,14.077,14.085,14.012,14.026,73275.69
2025-11-15 08:05:00,14.027,14.038,14.005,14.021,44212.67
2025-11-15 08:10:00,14.021,14.039,13.999,14.021,57428.58
2025-11-15 08:15:00,14.022,14.022,13.982,13.997,51394.17
2025-11-15 08:20:00,13.998,14.001,13.939,13.939,82676.39
2025-11-15 08:25:00,13.94,13.951,13.915,13.946,107546.67
2025-11-15 08:30:00,13.947,13.95,13.906,13.911,41525.47
2025-11-15 08:35:00,13.912,13.999,13.912,13.962,68601.36
2025-11-15 08:40:00,13.962,13.985,13.9,13.909,85968.6
2025-11-15 08:45:00,13.91,13.921,13.833,13.862,165667.32
2025-11-15 08:50:00,13.862,13.882,13.824,13.853,92523.67
2025-11-15 08:55:00,13.853,13.895,13.837,13.877,45905.54
2025-11-15 09:00:00,13.877,13.903,13.853,13.889,63250.71
2025-11-15 09:05:00,13.89,13.907,13.861,13.906,48288.36
2025-11-15 09:10:00,13.906,13.971,13.905,13.971,95640.58
2025-11-15 09:15:00,13.971,13.992,13.936,13.947,119075.01
2025-11-15 09:20:00,13.947,14.019,13.93,14.017,100581.86
2025-11-15 09:25:00,14.018,14.05,14.001,14.008,140588.18
2025-11-15 09:30:00,14.008,14.025,13.983,14.014,60063.97
2025-11-15 09:35:00,14.015,14.04,14.014,14.016,51493.31
2025-11-15 09:40:00,14.015,14.038,13.996,14.021,42134.05
2025-11-15 09:45:00,14.021,14.021,13.952,13.955,43701.79
2025-11-15 09:50:00,13.954,13.979,13.927,13.965,58921.55
2025-11-15 09:55:00,13.965,13.975,13.941,13.964,25951.17
2025-11-15 10:00:00,13.965,13.967,13.933,13.955,46668.45
2025-11-15 10:05:00,13.954,13.992,13.941,13.966,54853.81
2025-11-15 10:10:00,13.966,13.995,13.938,13.991,71784.49
2025-11-15 10:15:00,13.992,14.031,13.956,13.985,83400.31
2025-11-15 10:20:00,13.985,14.03,13.975,14.013,38200.98
2025-11-15 10:25:00,14.013,14.015,13.99,13.996,40580.46
2025-11-15 10:30:00,13.997,14.016,13.991,13.996,29630.91
2025-11-15 10:35:00,13.997,14.001,13.972,13.988,22333.19
2025-11-15 10:40:00,13.989,14.063,13.989,14.058,36095.85
2025-11-15 10:45:00,14.057,14.068,14.039,14.057,26491.43
2025-11-15 10:50:00,14.058,14.097,14.048,14.077,98007.14
2025-11-15 10:55:00,14.077,14.086,14.069,14.07,26015.48
2025-11-15 11:00:00,14.071,14.099,14.067,14.085,37515.01
2025-11-15 11:05:00,14.085,14.085,14.046,14.064,50831.43
2025-11-15 11:10:00,14.063,14.099,14.059,14.069,52480.63
2025-11-15 11:15:00,14.07,14.081,14.035,14.058,26439.85
2025-11-15 11:20:00,14.057,14.071,14.047,14.06,22871.52
2025-11-15 11:25:00,14.059,14.082,14.052,14.069,17746.72
2025-11-15 11:30:00,14.069,14.076,14.034,14.05,36985.95
2025-11-15 11:35:00,14.049,14.074,14.04,14.048,33787.65
2025-11-15 11:40:00,14.047,14.068,14.042,14.048,19482.35
2025-11-15 11:45:00,14.048,14.048,13.984,13.999,79063.23
2025-11-15 11:50:00,13.999,13.999,13.973,13.98,37422.4
2025-11-15 11:55:00,13.981,14.014,13.977,14.008,22073.03
2025-11-15 12:00:00,14.009,14.017,13.981,14.0,32610.34
2025-11-15 12:05:00,14.0,14.006,13.962,13.964,32129.27
2025-11-15 12:10:00,13.964,14.049,13.963,14.043,31610.87
2025-11-15 12:15:00,14.044,14.062,14.017,14.044,30904.66
2025-11-15 12:20:00,14.044,14.129,14.044,14.121,79874.47
2025-11-15 12:25:00,14.12,14.134,14.101,14.127,49824.55
2025-11-15 12:30:00,14.127,14.132,14.104,14.129,44983.93
2025-11-15 12:35:00,14.129,14.153,14.118,14.129,42014.42
2025-11-15 12:40:00,14.129,14.147,14.106,14.119,44806.5
2025-11-15 12:45:00,14.12,14.128,14.103,14.126,39090.98
2025-11-15 12:50:00,14.126,14.151,14.111,14.149,30520.07
2025-11-15 12:55:00,14.148,14.158,14.133,14.15,23008.62
2025-11-15 13:00:00,14.149,14.178,14.131,14.174,53840.53
2025-11-15 13:05:00,14.174,14.209,14.152,14.182,70965.37
2025-11-15 13:10:00,14.182,14.204,14.169,14.194,42081.64
2025-11-15 13:15:00,14.193,14.244,14.187,14.224,73815.76
2025-11-15 13:20:00,14.224,14.277,14.224,14.276,100937.56
2025-11-15 13:25:00,14.276,14.287,14.254,14.264,91756.77
2025-11-15 13:30:00,14.265,14.272,14.209,14.221,106129.21
2025-11-15 13:35:00,14.222,14.257,14.213,14.244,103582.27
2025-11-15 13:40:00,14.244,14.245,14.203,14.208,40929.81
2025-11-15 13:45:00,14.208,14.243,14.182,14.207,48736.61
2025-11-15 13:50:00,14.206,14.262,14.18,14.244,60004.77
2025-11-15 13:55:00,14.244,14.291,14.222,14.253,83724.09
2025-11-15 14:00:00,14.253,14.253,14.211,14.219,65104.18
2025-11-15 14:05:00,14.219,14.236,14.197,14.216,42684.4
2025-11-15 14:10:00,14.216,14.233,14.206,14.221,32464.94
2025-11-15 14:15:00,14.222,14.238,14.177,14.197,109002.09
2025-11-15 14:20:00,14.197,14.209,14.162,14.163,65523.04
2025-11-15 14:25:00,14.162,14.162,14.134,14.154,79570.55
2025-11-15 14:30:00,14.154,14.168,14.124,14.141,94020.83
2025-11-15 14:35:00,14.141,14.192,14.141,14.191,47708.42
2025-11-15 14:40:00,14.19,14.19,14.141,14.155,34484.82
2025-11-15 14:45:00,14.155,14.155,14.129,14.134,32415.11
2025-11-15 14:50:00,14.134,14.183,14.134,14.169,34109.25
2025-11-15 14:55:00,14.169,14.183,14.156,14.176,26637.19
2025-11-15 15:00:00,14.177,14.183,14.143,14.146,38993.88
2025-11-15 15:05:00,14.146,14.202,14.145,14.2,35268.85
2025-11-15 15:10:00,14.199,14.228,14.181,14.214,49982.01
2025-11-15 15:15:00,14.214,14.214,14.154,14.162,18065.41
2025-11-15 15:20:00,14.162,14.193,14.149,14.185,27320.08
2025-11-15 15:25:00,14.184,14.23,14.181,14.201,28280.11
2025-11-15 15:30:00,14.202,14.204,14.137,14.155,27531.25
2025-11-15 15:35:00,14.154,14.188,14.151,14.183,24003.82
2025-11-15 15:40:00,14.182,14.182,14.157,14.158,24432.28
2025-11-15 15:45:00,14.159,14.19,14.158,14.178,24009.62
2025-11-15 15:50:00,14.179,14.193,14.169,14.173,23636.57
2025-11-15 15:55:00,14.174,14.195,14.145,14.165,29173.7
2025-11-15 16:00:00,14.165,14.184,14.151,14.171,31885.76
