ts,open,high,low,close,volume
2025-11-08 00:30:00,161.52,161.69,160.55,161.44,273206.71
2025-11-08 00:45:00,161.43,162.56,160.74,160.81,237711.34
2025-11-08 01:00:00,160.82,162.23,160.74,161.72,216864.96
2025-11-08 01:15:00,161.72,162.41,161.7,162.31,121603.98
2025-11-08 01:30:00,162.31,162.31,161.57,161.7,97218.49
2025-11-08 01:45:00,161.71,162.02,161.38,161.98,124245.36
2025-11-08 02:00:00,161.98,162.79,161.84,162.54,138861.18
2025-11-08 02:15:00,162.54,163.45,162.5,163.35,203751.89
2025-11-08 02:30:00,163.36,164.35,163.16,164.02,233007.75
2025-11-08 02:45:00,164.02,164.16,163.16,163.32,165958.97
2025-11-08 03:00:00,163.32,164.82,163.28,163.98,283170.94
2025-11-08 03:15:00,163.99,164.36,163.64,163.75,149384.37
2025-11-08 03:30:00,163.75,163.95,162.85,163.2,168731.5
2025-11-08 03:45:00,163.19,163.5,162.37,162.42,164809.03
2025-11-08 04:00:00,162.43,163.14,162.42,163.07,119684.87
2025-11-08 04:15:00,163.08,163.48,162.47,162.53,117527.09
2025-11-08 04:30:00,162.54,163.63,162.4,163.32,105650.32
2025-11-08 04:45:00,163.31,163.48,162.55,162.61,78587.4
2025-11-08 05:00:00,162.61,163.0,161.77,161.96,160033.82
2025-11-08 05:15:00,161.96,162.17,161.67,161.99,132760.4
2025-11-08 05:30:00,161.98,162.13,161.09,161.34,194430.75
2025-11-08 05:45:00,161.34,161.59,160.94,161.29,147271.7
2025-11-08 06:00:00,161.28,161.53,160.03,160.14,419935.39
2025-11-08 06:15:00,160.14,161.36,160.13,161.13,192231.41
2025-11-08 06:30:00,161.14,161.82,160.9,161.53,134749.63
2025-11-08 06:45:00,161.54,161.88,160.97,161.01,120315.61
2025-11-08 07:00:00,161.02,161.09,160.57,160.8,137968.6
2025-11-08 07:15:00,160.79,161.01,159.48,160.13,273454.07
2025-11-08 07:30:00,160.12,160.5,159.85,160.35,111864.3
2025-11-08 07:45:00,160.35,161.03,160.29,160.96,78321.96
2025-11-08 08:00:00,160.95,161.54,160.67,161.03,122586.24
2025-11-08 08:15:00,161.02,161.64,160.2,161.39,142530.66
2025-11-08 08:30:00,161.39,161.9,161.32,161.69,135515.34
2025-11-08 08:45:00,161.7,161.98,161.45,161.46,76555.57
2025-11-08 09:00:00,161.45,161.48,161.0,161.18,95934.93
2025-11-08 09:15:00,161.18,162.09,161.06,161.91,98748.5
2025-11-08 09:30:00,161.91,162.29,161.78,161.86,123413.65
2025-11-08 09:45:00,161.85,161.93,160.86,161.07,143975.84
2025-11-08 10:00:00,161.07,161.11,160.58,160.59,90164.54
2025-11-08 10:15:00,160.6,161.15,160.44,161.01,102268.26
2025-11-08 10:30:00,161.01,161.09,160.54,160.69,54472.21
2025-11-08 10:45:00,160.69,161.04,160.69,160.72,92771.67
2025-11-08 11:00:00,160.73,161.07,160.35,161.02,107636.87
2025-11-08 11:15:00,161.01,161.09,160.58,160.89,85392.87
2025-11-08 11:30:00,160.9,160.9,159.27,159.44,302247.21
2025-11-08 11:45:00,159.44,159.78,159.03,159.29,234579.09
2025-11-08 12:00:00,159.3,159.62,158.66,158.75,208423.69
2025-11-08 12:15:00,158.75,159.6,158.75,159.42,142099.07
2025-11-08 12:30:00,159.42,159.6,159.01,159.02,77689.5
2025-11-08 12:45:00,159.01,159.46,158.86,159.33,79464.18
2025-11-08 13:00:00,159.34,159.38,158.27,159.02,274018.59
2025-11-08 13:15:00,159.02,159.27,158.63,159.06,105138.61
2025-11-08 13:30:00,159.06,159.35,158.31,159.1,153094.36
2025-11-08 13:45:00,159.1,159.15,158.01,158.14,168545.83
2025-11-08 14:00:00,158.13,158.46,157.11,157.25,501712.5
2025-11-08 14:15:00,157.26,157.59,156.73,157.3,309381.92
2025-11-08 14:30:00,157.3,158.13,157.21,157.58,199638.43
2025-11-08 14:45:00,157.58,157.94,157.36,157.62,87026.46
2025-11-08 15:00:00,157.63,157.78,157.05,157.25,103025.41
2025-11-08 15:15:00,157.26,157.52,156.01,156.51,331573.76
2025-11-08 15:30:00,156.51,156.8,155.82,156.2,225119.89
2025-11-08 15:45:00,156.2,156.76,155.97,156.61,125085.84
2025-11-08 16:00:00,156.61,157.25,155.7,156.96,322520.8
2025-11-08 16:15:00,156.95,157.2,156.14,156.85,202202.57
2025-11-08 16:30:00,156.84,157.31,156.6,156.72,122304.69
2025-11-08 16:45:00,156.72,156.88,156.07,156.69,141481.79
2025-11-08 17:00:00,156.69,156.8,155.95,156.27,182366.91
2025-11-08 17:15:00,156.27,157.33,156.27,157.05,181042.88
2025-11-08 17:30:00,157.05,157.47,156.87,157.4,104932.03
2025-11-08 17:45:00,157.39,157.58,157.11,157.5,111628.37
2025-11-08 18:00:00,157.49,157.67,157.15,157.53,104118.69
2025-11-08 18:15:00,157.53,157.54,156.83,157.08,69634.3
