ts,open,high,low,close,vol
2025-11-14 13:00:00,1.7847,1.7922,1.7768,1.782,2740430.0
2025-11-14 13:05:00,1.7821,1.7821,1.7737,1.7786,1180128.2
2025-11-14 13:10:00,1.7785,1.7815,1.7712,1.7726,1003542.5
2025-11-14 13:15:00,1.7726,1.777,1.7682,1.7682,884780.6
2025-11-14 13:20:00,1.7681,1.7713,1.7629,1.7691,1046865.3
2025-11-14 13:25:00,1.769,1.7719,1.7651,1.7683,633728.3
2025-11-14 13:30:00,1.7684,1.7712,1.7535,1.7562,1065042.7
2025-11-14 13:35:00,1.7561,1.7597,1.7516,1.7534,1055823.3
2025-11-14 13:40:00,1.7534,1.759,1.7505,1.7527,784969.6
2025-11-14 13:45:00,1.7528,1.7584,1.7493,1.7536,834388.7
2025-11-14 13:50:00,1.7536,1.773,1.749,1.7649,1797014.3
2025-11-14 13:55:00,1.765,1.7735,1.7602,1.7651,1293370.6
2025-11-14 14:00:00,1.765,1.7725,1.7598,1.7713,1042595.2
2025-11-14 14:05:00,1.7714,1.7788,1.7702,1.7773,2170603.0
2025-11-14 14:10:00,1.7773,1.7777,1.7585,1.762,2361063.6
2025-11-14 14:15:00,1.762,1.7711,1.7604,1.7678,1255114.1
2025-11-14 14:20:00,1.7676,1.773,1.7617,1.7722,1225083.2
2025-11-14 14:25:00,1.7721,1.7721,1.7551,1.7552,1020697.6
2025-11-14 14:30:00,1.7552,1.7663,1.7428,1.7621,2836449.3
2025-11-14 14:35:00,1.7622,1.7945,1.7614,1.7901,4929045.8
2025-11-14 14:40:00,1.7901,1.8013,1.777,1.7954,5259273.6
2025-11-14 14:45:00,1.7954,1.8043,1.787,1.7946,3088970.5
2025-11-14 14:50:00,1.7947,1.8054,1.7836,1.7972,3615847.9
2025-11-14 14:55:00,1.7972,1.7986,1.7901,1.7938,1851943.8
2025-11-14 15:00:00,1.7939,1.7944,1.778,1.7797,1716659.0
2025-11-14 15:05:00,1.7796,1.7896,1.7755,1.7858,1202931.0
2025-11-14 15:10:00,1.7857,1.7876,1.7668,1.7712,1383130.7
2025-11-14 15:15:00,1.7712,1.7792,1.7661,1.7672,1199142.9
2025-11-14 15:20:00,1.7672,1.7772,1.7653,1.7703,1366583.2
2025-11-14 15:25:00,1.7702,1.7913,1.7636,1.7872,1421975.9
2025-11-14 15:30:00,1.7872,1.796,1.7827,1.7867,1834461.3
2025-11-14 15:35:00,1.7867,1.7971,1.7833,1.7939,1468885.2
2025-11-14 15:40:00,1.7939,1.7996,1.788,1.799,1054223.3
2025-11-14 15:45:00,1.799,1.82,1.7962,1.8118,1948447.3
2025-11-14 15:50:00,1.8117,1.815,1.807,1.8106,1284658.9
2025-11-14 15:55:00,1.8105,1.8113,1.795,1.7991,1852455.5
2025-11-14 16:00:00,1.7991,1.801,1.7905,1.7927,1387672.7
2025-11-14 16:05:00,1.7927,1.7995,1.7908,1.7993,770464.9
2025-11-14 16:10:00,1.7992,1.8003,1.7908,1.791,766602.0
