[2026-05-08 13:39:21] 🚀 白夜纸交易 v3.0 启动
[2026-05-08 13:39:21]    策略: 均值回归 + 融合过滤 | 周期: 15m | Maker 0.02%
[2026-05-08 13:39:21]    品种: BTCUSDT, SOLUSDT, BNBUSDT, LINKUSDT, ETHUSDT, POLUSDT
[2026-05-08 13:39:21]    初始资金: 150.00U | 历史交易: 0笔
[2026-05-08 13:39:22]   📊 轮1 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 13:40:22]   📊 轮2 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 13:41:23]   📊 轮3 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 13:42:24]   📊 轮4 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 13:43:25]   📊 轮5 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 13:44:26]   📊 轮6 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 13:45:27]   📊 轮7 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 13:46:29]   📊 轮8 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 13:47:30]   📊 轮9 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 13:48:31]   📊 轮10 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 13:49:32]   📊 轮11 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 13:50:33]   📊 轮12 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 13:51:34]   📊 轮13 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 13:52:35]   📊 轮14 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 13:53:36]   📊 轮15 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 13:54:37]   📊 轮16 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 13:55:38]   📊 轮17 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 13:56:39]   📊 轮18 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 13:57:39]   📊 轮19 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 13:58:40]   📊 轮20 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 13:59:41]   📊 轮21 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 14:00:42]   📊 轮22 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 14:01:44]   📊 轮23 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 14:02:45]   📊 轮24 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 14:03:46]   📊 轮25 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 14:04:47]   📊 轮26 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 14:05:48]   📊 轮27 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
[2026-05-08 14:06:49]   📊 轮28 | 持仓:0 | 交易:0笔 WR:0.0% | 总PnL:+0.00U | 资金:150.00U
